Filière,Produit,Production_Tonnes,year
fourragères,Vesce Avoine,170775.0,2013
industrielles,Autres Cultures Industrielles,64.0,2013
industrielles,Coriandre Récoltée,400.0,2013
industrielles,Câprier,28400.0,2013
industrielles,Henné,892.0,2013
industrielles,Safran,4.8,2013
industrielles,Sorgho A Balais,112.0,2013
industrielles,Tabac,360.0,2013
légumineuses,Autres Légumineuses,30282.675,2013
légumineuses,Fève,153387.93,2013
légumineuses,Lentille,42948.8499999999,2013
légumineuses,Orobe,1360.0,2013
légumineuses,Petit Pois,36328.4,2013
légumineuses,Pois Chiche,24923.8,2013
maraîchage,Ail,6784.0,2013
maraîchage,Artichaut,62073.6,2013
maraîchage,Asperge,0.0,2013
maraîchage,Aubergine,71976.6,2013
maraîchage,Betterave Potager,33686.5,2013
maraîchage,Choux Fleur,48162.0,2013
maraîchage,Choux Pomme,95426.0,2013
maraîchage,Concombre,48246.2,2013
maraîchage,Fraisier,145233.0,2013
maraîchage,Framboise,9901.59199999998,2013
maraîchage,Fève Verte,154415.0,2013
maraîchage,Haricot Vert,154663.0,2013
maraîchage,Menthe,87601.5,2013
maraîchage,Myrtille,4864.09710658217,2013
maraîchage,Navet,171286.6,2013
maraîchage,Niora,21181.0,2013
maraîchage,Oignon Vert,7422.3,2013
maraîchage,Patate Douce,26450.0,2013
maraîchage,Petit Pois Vert,125482.0,2013
maraîchage,Piment Poivron,179859.0,2013
oléagineuses,Arachide,38790.0,2013
oléagineuses,Sésame,375.0,2013
oléagineuses,Tournesol,18989.0,2013
palmiers-dattiers,Palmier Dattier,111924.0,2013
rosacées,Abricotier,100690.095,2013
rosacées,Autres Plantations Fruitières,58185.5,2013
rosacées,Avocatier,28079.5,2013
rosacées,Caroubier,3705.0,2013
rosacées,Cerisier,15199.4,2013
rosacées,Cognassier,45369.55,2013
rosacées,Figuier,112537.36139,2013
rosacées,Grenadier,122722.67,2013
rosacées,Noyer,14235.175,2013
rosacées,Néflier,6148.67,2013
rosacées,Pacanier,209.0,2013
rosacées,Pistachier,113.7,2013
rosacées,Poirier,43041.774,2013
rosacées,Prunier,109363.028371998,2013
rosacées,Pêcher Nectarine,76104.56,2013
vignes,Raisin De Cuve,109572.7274,2013
agrumes,Autres Agrumes,13260.62,2014
agrumes,Citron,26450.5885714286,2014
agrumes,Orange Autres,27276.65,2014
agrumes,Orange Navel Lane Late,14940.0,2014
agrumes,Orange Navel Late,7524.99999999999,2014
agrumes,Orange Navelina,246.0,2014
agrumes,Orange Salustiana,28587.0,2014
agrumes,Orange Washignton Sanguine,78182.62,2014
agrumes,Pamplemousse,475.0,2014
agrumes,Petit Fruit Autres,75335.76,2014
agrumes,Petit Fruit Fortune,1008.0,2014
agrumes,Petit Fruit Nador Cott,82984.0,2014
agrumes,Petit Fruit Nour,190753.90117647,2014
agrumes,Petit Fruit Nova,10802.5,2014
agrumes,Petit Fruit Nules,167272.333333333,2014
agrumes,Petit Fruit Ortanique,10605.38,2014
amandiers,Amandier,101025.38,2014
céréales,Autres Céréales,4852.4,2014
céréales,Avoine,36617.6,2014
céréales,Mais,97378.9,2014
céréales,Riz,33051.3,2014
céréales,Sorgho,4800.0,2014
fourragères,Autres Cultures Fourragères,92405.0,2014
fourragères,Lupin,32056.0,2014
fourragères,Mélange Fourrager,202625.0,2014
fourragères,Pois Fourrager,80586.0,2014
fourragères,Triticale,2560.0,2014
fourragères,Vesce Avoine,192653.0,2014
industrielles,Coriandre Récoltée,450.0,2014
industrielles,Câprier,26830.4,2014
industrielles,Henné,1200.0,2014
industrielles,Safran,5.0,2014
industrielles,Tabac,350.0,2014
légumineuses,Autres Légumineuses,32270.3,2014
légumineuses,Fève,166680.3,2014
légumineuses,Féverole,40398.0,2014
légumineuses,Lentille,30670.75,2014
légumineuses,Orobe,844.0,2014
légumineuses,Petit Pois,23416.5,2014
légumineuses,Pois Chiche,62499.4399999999,2014
maraîchage,Ail,7709.0,2014
maraîchage,Artichaut,55234.0,2014
maraîchage,Asperge,2488.0,2014
maraîchage,Aubergine,70291.0,2014
maraîchage,Betterave Potager,19701.0,2014
maraîchage,Choux Fleur,52113.0,2014
maraîchage,Choux Pomme,64462.0,2014
maraîchage,Concombre,55439.25,2014
maraîchage,Fraisier,137388.0,2014
maraîchage,Framboise,15700.86,2014
maraîchage,Fève Verte,157054.0,2014
maraîchage,Haricot Vert,148110.0,2014
maraîchage,Menthe,85119.5,2014
maraîchage,Myrtille,7709.67,2014
maraîchage,Navet,153516.0,2014
maraîchage,Niora,27854.0,2014
maraîchage,Oignon Vert,56663.0,2014
maraîchage,Patate Douce,16420.0,2014
maraîchage,Petit Pois Vert,97914.5,2014
maraîchage,Piment Poivron,165248.0,2014
oléagineuses,Arachide,38376.0,2014
oléagineuses,Sésame,498.0,2014
oléagineuses,Tournesol,27368.2,2014
palmiers-dattiers,Palmier Dattier,102201.0,2014
rosacées,Abricotier,90273.555,2014
rosacées,Autres Plantations Fruitières,52337.25,2014
rosacées,Avocatier,31895.5,2014
rosacées,Caroubier,4055.0,2014
rosacées,Cerisier,15523.6,2014
rosacées,Cognassier,45881.7,2014
rosacées,Figuier,126553.55724,2014
rosacées,Grenadier,121745.955,2014
rosacées,Noyer,12508.515,2014
rosacées,Néflier,5933.2,2014
rosacées,Pacanier,218.0,2014
rosacées,Pistachier,111.7,2014
rosacées,Poirier,39587.081,2014
rosacées,Prunier,92871.9017861934,2014
rosacées,Pêcher Nectarine,73802.01,2014
vignes,Raisin De Cuve,114286.7801,2014
agrumes,Autres Agrumes,4658.6,2015
agrumes,Citron,29592.75,2015
agrumes,Orange Autres,28777.928,2015
agrumes,Orange Navel Lane Late,14070.0,2015
agrumes,Orange Navel Late,8318.0,2015
agrumes,Orange Navelina,241.0,2015
