date,Produit,Production_tonnes
2015-01-01,Carottes et navets,413877.9
2016-01-01,Carottes et navets,393703.92
2017-01-01,Carottes et navets,436135.0
2018-01-01,Carottes et navets,480294.0
2019-01-01,Carottes et navets,412218.8
2020-01-01,Carottes et navets,403398.6
2021-01-01,Carottes et navets,387507.0
2022-01-01,Carottes et navets,405068.7
2023-01-01,Carottes et navets,404646.0
1961-01-01,Cerises,20.0
1962-01-01,Cerises,30.0
1963-01-01,Cerises,30.0
1964-01-01,Cerises,40.0
1965-01-01,Cerises,40.0
1966-01-01,Cerises,60.0
1967-01-01,Cerises,80.0
1968-01-01,Cerises,100.0
1969-01-01,Cerises,120.0
1970-01-01,Cerises,140.0
1971-01-01,Cerises,160.0
1972-01-01,Cerises,180.0
1973-01-01,Cerises,200.0
1974-01-01,Cerises,230.0
1975-01-01,Cerises,250.0
1976-01-01,Cerises,300.0
1977-01-01,Cerises,310.0
1978-01-01,Cerises,340.0
1979-01-01,Cerises,360.0
1980-01-01,Cerises,380.0
1981-01-01,Cerises,400.0
1982-01-01,Cerises,600.0
1983-01-01,Cerises,800.0
1984-01-01,Cerises,700.0
1985-01-01,Cerises,900.0
1986-01-01,Cerises,1000.0
1987-01-01,Cerises,1100.0
1988-01-01,Cerises,1400.0
1989-01-01,Cerises,2600.0
1990-01-01,Cerises,2300.0
1991-01-01,Cerises,2700.0
1992-01-01,Cerises,7000.0
1993-01-01,Cerises,11000.0
1994-01-01,Cerises,2000.0
1995-01-01,Cerises,1400.0
1996-01-01,Cerises,4000.0
1997-01-01,Cerises,3200.0
1998-01-01,Cerises,7200.0
1999-01-01,Cerises,7166.0
2000-01-01,Cerises,6400.0
2001-01-01,Cerises,4500.0
2002-01-01,Cerises,2500.0
2003-01-01,Cerises,3700.0
2004-01-01,Cerises,5440.0
2005-01-01,Cerises,9800.0
2006-01-01,Cerises,5530.0
2007-01-01,Cerises,6090.0
2008-01-01,Cerises,6664.0
2009-01-01,Cerises,7501.0
2010-01-01,Cerises,8051.0
2011-01-01,Cerises,8210.0
2012-01-01,Cerises,7196.0
2013-01-01,Cerises,15199.4
2014-01-01,Cerises,15523.6
2015-01-01,Cerises,18728.6
2016-01-01,Cerises,8093.0
2017-01-01,Cerises,13405.7
2018-01-01,Cerises,13664.5
2019-01-01,Cerises,20348.7
2020-01-01,Cerises,10767.2
2021-01-01,Cerises,13804.0
2022-01-01,Cerises,15915.18
2023-01-01,Cerises,14144.76
1961-01-01,Champignons et truffes,300.0
1962-01-01,Champignons et truffes,300.0
1963-01-01,Champignons et truffes,300.0
1964-01-01,Champignons et truffes,300.0
1965-01-01,Champignons et truffes,400.0
1966-01-01,Champignons et truffes,400.0
1967-01-01,Champignons et truffes,400.0
1968-01-01,Champignons et truffes,500.0
1969-01-01,Champignons et truffes,500.0
1970-01-01,Champignons et truffes,500.0
1971-01-01,Champignons et truffes,600.0
1972-01-01,Champignons et truffes,600.0
1973-01-01,Champignons et truffes,800.0
1974-01-01,Champignons et truffes,680.0
1975-01-01,Champignons et truffes,650.0
1976-01-01,Champignons et truffes,650.0
1977-01-01,Champignons et truffes,630.0
1978-01-01,Champignons et truffes,630.0
1979-01-01,Champignons et truffes,600.0
1980-01-01,Champignons et truffes,600.0
1981-01-01,Champignons et truffes,620.0
1982-01-01,Champignons et truffes,620.0
